Symbol,Description,Price,Price - Currency,"Price change %, 1 day",Sector,Industry,Exchange,"Price × volume (turnover), 1 day","Price × volume (turnover), 1 day - Currency","Volume, 1 day","Price change %, 1 week","Price change %, 1 month","Performance %, 3 months","Performance %, 1 year",Market capitalization,Market capitalization - Currency,Country or region of registration,"Beta, 1 year","Volume, 1 week","Average volume, 30 days","Moving average convergence divergence, 12,26, 1 week, Level","Moving average convergence divergence, 12,26, 1 week, Signal","Moving average convergence divergence, 12,26, 1 day, Level","Moving average convergence divergence, 12,26, 1 day, Signal","Exponential moving average, 10, 1 day","Exponential moving average, 20, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Exponential moving average, 10, 1 week","Exponential moving average, 20, 1 week","Exponential moving average, 50, 1 week","Exponential moving average, 200, 1 week",Snapshot Date
PAY,"Paymentus Holdings, Inc.",34.87,USD,-4.98637602179838,Commercial services,Miscellaneous commercial services,NYSE,65905241.49,USD,1890027,20.78281953585035,44.32947019867549,22.868217054263564,23.433628318584063,4386291250.0,USD,United States,1.3985785,5683127,1337976.8333333333,0.4649067570364096,-0.8078278556006347,2.45550360702914,1.8993174197166287,31.99375229507117,29.900044002974862,27.25641542829092,27.48327319864097,27.839920649092544,26.88733167522206,27.69866980699208,24.346650393405582,2026-07-31
CRL,"Charles River Laboratories International, Inc.",234.62,USD,-0.0766609880749603,Commercial services,Miscellaneous commercial services,NYSE,220010916.46,USD,937733,3.5484155706593663,3.4525331804753354,39.93796970058453,30.992127742727924,11301113103.0,USD,United States,1.3968811,3970444,917794.4333333332,14.099121464366249,7.763299121948242,7.51534070660901,8.210935349102536,229.9290718631769,225.03303103673096,209.44152824229968,187.30968103809823,213.1157030206666,199.6028852689465,186.64501214642812,194.6047593070508,2026-07-31
VVX,"V2X, Inc.",86.75,USD,0.509790290812186,Commercial services,Miscellaneous commercial services,NYSE,58911751.5,USD,679098,3.805193251166695,16.349248927038623,29.47761194029851,78.42451665981079,2716184481.0,USD,United States,1.1443038,3662047,746373.9666666667,4.768736113828666,4.511597655296781,2.456281556411909,1.1318719669019246,83.79455713250474,81.33510725473309,78.66693294664017,69.46444782425658,79.30900481386713,75.71117111083022,67.92381897651205,54.78774481179668,2026-07-31
PAYO,Payoneer Global Inc.,7.16,USD,0.5617977528089892,Commercial services,Miscellaneous commercial services,NASDAQ,56853722.24,USD,7940464,0.5617977528089892,0.5617977528089892,42.06349206349206,8.157099697885196,2421471831.0,USD,United States,1.1395668,26061774,4554574.466666667,0.4592860118437922,0.2356852992178536,0.1457005144359566,0.1933986002230329,7.126321902157793,7.055158225749393,6.596952873345936,6.022733012776254,6.677947607061292,6.207660819075876,6.07626751727532,6.714969804964729,2026-07-31
CBZ,"CBIZ, Inc.",55.25,USD,0.6375227686703123,Commercial services,Miscellaneous commercial services,NYSE,259236591.25,USD,4692065,29.603565564156693,72.22568578553617,76.12368504941026,-27.09158089205595,2964092400.9999995,USD,United States,1.4828764,23663418,1506122.7333333334,0.906142551960258,-2.172348577821219,4.271608920837039,2.9295887497440143,46.50383886932919,42.72045815956675,37.888311162675016,40.816427004111375,39.91651991812944,37.5764825586785,43.19133788703067,52.59686508998061,2026-07-31
NSP,"Insperity, Inc.",54.03,USD,1.5983452425723983,Commercial services,Miscellaneous commercial services,NYSE,79253095.05,USD,1466835,11.747673216132368,30.791575889615103,63.57856494096276,-11.643499591169252,2062280847.0,USD,United States,1.550683,3652384,778116.7666666667,3.5247073237790616,0.7297815749605397,3.356685476813773,3.2347948818756644,50.78572313709192,48.28840341053198,42.69410609896292,40.563271882328166,44.00992357442819,39.800217406340096,42.581998104820926,69.60410873445643,2026-07-31
ADT,ADT Inc.,7.51,USD,1.3495276653171342,Commercial services,Miscellaneous commercial services,NYSE,81863468.45,USD,10900595,6.676136363636361,15.538461538461537,-1.1842105263157876,-9.843937575030017,5095555782.000001,USD,United States,1.0745173,37793910,8571794.766666668,-0.153288604556363,-0.2586406771405083,0.1633438836215264,0.0945515434427202,7.161715423232463,7.005314097022628,6.896205245044248,7.292831796715641,6.973986088692299,7.036136723937171,7.384620412303094,7.529296393487521,2026-07-31
TAL,TAL Education Group,12.34,USD,13.3149678604224,Commercial services,Miscellaneous commercial services,NYSE,140970827.28,USD,11423892,19.80582524271844,28.94461859979101,10.97122302158274,24.14486921529176,6829453898.0,USD,China,1.114393,34691645,4097782.233333333,-0.125859793966736,-0.290119032869096,0.3399321607082779,0.190189617969888,10.785700750671202,10.458139415504036,10.275302273809205,10.703345816513698,10.504563290492792,10.540292707367398,10.76152132464674,12.614238933331542,2026-07-31
XYZ,"Block, Inc.",82.59,USD,0.4989048430274964,Commercial services,Miscellaneous commercial services,NYSE,308703332.79,USD,3737781,7.051198963058973,8.671052631578952,15.607502799552078,6.2865967440962685,49156223677.0,USD,United States,1.9449924,17937818,5350521.066666666,3.8279372527335767,2.710968363468798,1.7756362328560158,1.6505139301751162,80.5499469086919,79.22397501108216,75.91351675037441,70.04653225913215,76.57822227617326,73.09566766413602,69.94990600483465,76.25393316186081,2026-07-31
ICLR,ICON plc,165.53,USD,-7.099562240431028,Commercial services,Miscellaneous commercial services,NASDAQ,293671738.9,USD,1774130,-0.13875482625482,-4.708997754878825,38.333611900384426,-10.707735462293664,12674189942.999998,USD,Ireland,1.5474453,5914774,969569.9333333332,7.4324712843497025,1.472911202522899,4.638867922618744,5.5431912896383535,170.52552344622643,167.8048506944383,155.9732567717516,149.41464268258625,157.20089307452,148.22759346831037,152.6505220355797,193.52862196912108,2026-07-31
